src,tgt,hyp,ref,task,label
Мария закрыла лицо руками.,Maria covered her face with her hands.,Maria closed her face with her hands.,either,MT,1
Вы бы лучше пошли помогли ей.,You'd better go help her.,You'd better go help her.,either,MT,0
"Я думал, ты канадка.",I thought that you were Canadian.,I thought you were Canadian.,either,MT,0
Том развёлся с Мэри в прошлом году.,Tom divorced Mary last year.,Tom divorced Mary last year.,either,MT,0
Да ну тебя!,Give me a break!,Come on!,either,MT,1
"Том не думает, что на Марсе есть жизнь.",Tom doesn't think there is any life on Mars.,Tom doesn't think there's life on Mars.,either,MT,0
Финики - это здоровая пища.,Dates are a healthy food.,Phoenicians are healthy food.,either,MT,1
Том нырнул в воду и поплыл на тот берег.,Tom dove into the water and swam to the other side.,Tom dived into the water and sailed to that shore.,either,MT,1
Ты несправедлив.,You're being unfair.,You're not fair.,either,MT,0
"Я знал, что Том не силён в шахматах.",I knew that Tom wasn't good at chess.,I knew Tom wasn’t strong at chess.,either,MT,0
Мне надо сделать важное объявление.,I have an important announcement to make.,I need to make an important announcement.,either,MT,0
Вы часто простужаетесь?,Do you frequently get colds?,Do you often get cold?,either,MT,1
Я поцеловал Тома в лоб.,I kissed Tom on the forehead.,I kissed Tom on his forehead.,either,MT,0
Я добавил страницу в закладки.,I bookmarked the page.,I added a page to the bookmarks.,either,MT,1
Он купил минибар в свою комнату.,He bought a mini fridge for his dorm room.,He bought a minibar in his room.,either,MT,1
"Надеюсь, вы не забыли пригласить Тома.",I hope that you didn't forget to invite Tom.,I hope you did not forget to invite Tom.,either,MT,0
Кто не мечтал о своём личном поваре?,Who hasn't dreamt of having their own personal chef?,Who hasn’t dreamed of their own chef?,either,MT,1
Приштина — столица Косово.,Pristina is the capital of Kosovo.,Pristina is the capital of Kosovo.,either,MT,0
Медведь черный.,The bear is black.,Bear is black.,either,MT,1
Освещение стало тускнеть.,The lights began to dim.,The lighting began to fade.,either,MT,0
Мы с ним родственные души.,He and I are kindred spirits.,He and I are soul mates.,either,MT,1
Это чешский?,Is that Czech?,Is it Czech?,either,MT,0
"Я знаю, что случилось.",I know what happened.,I know what happened.,either,MT,0
Иногда мне трудно говорить по-французски.,I sometimes struggle to speak French.,Sometimes I find it difficult to speak French.,either,MT,0
Мы сейчас живём за городом.,We live in the country now.,We live outside the city now.,either,MT,0
Я о таких вещах не беспокоюсь.,I don't worry about those things.,I don't care about those things.,either,MT,1
У меня в моче была кровь.,I had blood in my urine.,I had blood in my urine.,either,MT,0
"Отец Тома, находящийся в тюрьме, никогда не пишет Тому.","Tom's father, who is in prison, never writes to Tom.","Tom’s father, who is in prison, never writes to Tom.",either,MT,0
Просто предоставьте всё нам.,Just leave everything to us.,Just give us everything.,either,MT,1
Тебе не нравится твоё имя?,Don't you like your name?,You don't like your name?,either,MT,0
Кошки не любят воду.,Cats don't like water.,Cats don’t like water.,either,MT,0
Пауки — отвратительные маленькие существа.,Spiders are loathsome little creatures.,Spiders are disgusting little creatures.,either,MT,0
Я никак не успеваю доделать это до завтра.,There's no way I can finish doing this by tomorrow.,I don't have time to finish it until tomorrow.,either,MT,1
У меня в комнате холодно.,It's cold in my room.,It's cold in my room.,either,MT,0
Передашь ему это на том свете!,Tell him that in the afterlife.,You'll give it to him in that light!,either,MT,1
Тому не разрешили уйти.,Tom wasn't allowed to leave.,Tom was not allowed to leave.,either,MT,0
Что делать в случае пожара?,What should I do in case of fire?,What to do in case of fire?,either,MT,0
"Том рисковал своей жизнью, чтобы спасти Мэри.",Tom risked his life to save Mary.,He risked his life to save Mary.,either,MT,1
Её манера говорить нервирует меня.,The way she talks gets on my nerves.,Her way of speaking makes me nervous.,either,MT,1
Ты мог пораниться.,You could hurt yourself.,You could've hurt yourself.,either,MT,0
"Я надеюсь, что у меня получится.",I hope I succeed.,I hope I succeed.,either,MT,0
Пойду найду Тома.,I'll go find Tom.,I'll find Tom.,either,MT,0
Мне это вовсе не кажется странным.,I don't think it's strange at all.,I don't think that's weird at all.,either,MT,0
Её происхождение неизвестно.,Its origin is unknown.,It's a lot.,either,MT,1
Не ты ли просил меня подержать тебя за руку?,Didn't you ask me to hold your hand?,Didn't you ask me to hold your hand?,either,MT,0
Сегодня я не работаю.,I'm not working today.,I don't work today.,either,MT,0
Я умолял Тома прийти.,I begged Tom to come.,I begged Tom to come.,either,MT,0
Брат меня убьёт.,My brother's going to kill me.,My brother will kill me.,either,MT,1
С тобой такое часто бывает?,Does this happen to you a lot?,Does that happen to you often?,either,MT,0
Они отклонили приглашение.,They declined the invitation.,They rejected the invitation.,either,MT,0
Том меня никогда не видел.,Tom never saw me.,Tom never saw me.,either,MT,0
Том живёт близ заброшенного здания.,Tom lives near an abandoned building.,Tom lives near an abandoned building.,either,MT,0
"Том, похоже, меня не узнавал.",Tom didn't seem to recognize me.,Tom didn't seem to recognize me.,either,MT,0
Вы так долго со мной разговаривали и не знаете как меня зовут?!,"You've been talking to me for so long, don't you know my name?!",You've been talking to me for so long and you don't know what my name is?,either,MT,0
Том подкупил Мэри?,Did Tom bribe Mary?,Did Tom bribe Mary?,either,MT,0
Свобода бесценна.,Freedom is invaluable.,Freedom is invaluable.,either,MT,0
Она заплакала.,She started crying.,She cried.,either,MT,0
Нашли что-нибудь интересное?,Have you found something interesting?,Did you find anything interesting?,either,MT,0
Вы можете перевязать эту рану?,Can you dress this wound?,Can you tie this wound?,either,MT,0
После землетрясения многие решили спать в палатках на улице.,"After the earthquake, many people decided to sleep outside in tents.","After the earthquake, many decided to sleep in tents on the street.",either,MT,1
Откуда Том узнал о нашем плане?,How did Tom know about our plan?,How did Tom know about our plan?,either,MT,0
Я здесь часто ем.,I often eat here.,I eat here often.,either,MT,0
Я пятнадцать лет работал учителем.,I worked as a teacher for fifteen years.,I worked as a teacher for 15 years.,either,MT,0
Я не хочу пить ваш чай.,I do not want to drink your tea.,I don't want to drink your tea.,either,MT,0
Тому не надо было обманывать Мэри.,Tom shouldn't lie to Mary.,Tom didn't have to fool Mary.,either,MT,1
Ты сидишь на моём стуле.,You're sitting in my chair.,You're sitting on my chair.,either,MT,0
"Да, это моё.",Yes it's mine.,"Yeah, it's mine.",either,MT,0
Я не собираюсь просто дать тебе это.,I'm not just going to give it to you.,I'm not gonna just give you this.,either,MT,0
К чёрту весь мир!,Fuck the universe.,Fuck the world!,either,MT,0
Том нецензурно выражался.,Tom was cursing.,Tom uncensoredly expressed himself.,either,MT,1
"Я думал, ты беременна.",I thought you were pregnant.,I thought you were pregnant.,either,MT,0
Вы должны оставаться в форме.,You have to stay fit.,You have to stay in shape.,either,MT,0
Я испёк это для тебя.,I baked it for you.,I've got this for you.,either,MT,1
Почему ты так не думаешь?,Why don't you feel that way?,Why don't you think so?,either,MT,1
Окна Тома были открыты некоторое время назад. Сейчас они закрыты.,Tom's windows were open a while ago. They're closed now.,"I've got a time ago, while you've got a few times ago.",either,MT,1
Такого ещё никогда не было.,It had never happened before.,It's never happened before.,either,MT,0
"Таких людей, как вы, немного.",There aren't many people like you.,There are few people like you.,either,MT,0
Том хочет быть переводчиком.,Tom wants to be a translator.,Tom wants to be an interpreter.,either,MT,1
Меня не беспокоит Ваше прошлое.,I don't care about your past.,I don't care about your past.,either,MT,0
Тут мне придётся согласиться с Томом.,I've got to agree with Tom here.,That's where I'll have to agree with Tom.,either,MT,1
Том беспокоится за своего сына.,Tom is worried about his son.,Tom is worried about his son.,either,MT,0
"Том считает, что мы не должны были этого делать.","According to Tom, we shouldn't have done that.",Tom thinks we shouldn't have done that.,either,MT,0
"Когда дело доходит до готовки, с Мэри никто не сравнится.","When it comes to cooking, no one can equal Mary.","When it comes to cooking, no one compares to Mary.",either,MT,0
Такого несуразного заявления я давно не слыхал.,This is the most outlandish claim I've heard in a long time.,I haven't heard such an unspeakable statement in a long time.,either,MT,1
"Я никогда прямо не говорил, что она украла мои деньги.",I never said she stole my money.,I never said she stole my money.,either,MT,0
Ты должен её остановить.,You have to stop her.,You have to stop her.,either,MT,0
Эта книга помогла многим людям похудеть.,This book has helped many people lose weight.,This book has helped a lot of people lose weight.,either,MT,0
Крэк вызывает сильное привыкание.,Crack is very addictive.,Crack is very addictive.,either,MT,0
Том всегда покупает всё самое дешёвое.,Tom always buys whatever's the cheapest.,Tom always buys the cheapest.,either,MT,0
"Это пальто, которое я хочу купить.",This is the coat I want to buy.,That's the coat I want to buy.,either,MT,0
Мне определенно нужен один из них.,I definitely need one of those.,I definitely need one of them.,either,MT,1
Собаку кто-нибудь покормил?,Has anyone fed the dog?,Did anyone feed the dog?,either,MT,1
"Вы хотите, чтобы она вам помогла?",Do you want her to help you?,Do you want to know what you want?,either,MT,1
Сегодня я увидел звезду.,I saw a star today.,I saw a star today.,either,MT,0
"Надеюсь, она наготовила кучу спагетти.",I hope she's made lots of spaghetti.,I hope she made a bunch of spaghetti.,either,MT,1
"Спорим, я справлюсь лучше Тома.",I bet I can do better than Tom.,I bet I can do better than Tom.,either,MT,0
"Как только она открыла дверь, наружу выбежал кот.","As soon as she opened the door, a cat ran out.","As soon as she opened the door, the cat ran out.",either,MT,1
Ты хочешь что-нибудь сказать Тому?,Do you want to say anything to Tom?,Do you have anything you want to say to Tom?,either,MT,0
Том - профессионал в своём деле.,Tom is a professional in his business.,Tom's a professional at work.,either,MT,0
У Тома на это ушло всего около трёх минут.,It only took Tom about three minutes to do that.,Tom went around three minutes.,either,MT,1
Ему не нравится рыба.,He doesn't like fish.,He doesn’t like fish.,either,MT,0
Почему ты научил собаку испанскому?,Why did you teach the dog Spanish?,Why did you teach the dog Spanish?,either,MT,0
Ваше предложение лучше.,Your suggestion is better.,Your offer is better.,either,MT,0
Всё утро лил дождь.,It rained hard all morning.,It rained all morning.,either,MT,1
Тому эта фотография не понравилась.,Tom didn't like this picture.,Tom didn't like this photo.,either,MT,0
Том поддерживает чистоту в своей комнате.,Tom keeps his room tidy.,He maintains cleanliness in his room.,either,MT,0
Что твой парень подарил тебе на вашу годовщину?,What did your boyfriend give you for your anniversary?,What did your boyfriend give you for your anniversary?,either,MT,0
Папа Тома сводил его в аквапарк.,Tom's dad took him to a waterpark.,Tom’s dad took him to a water park.,either,MT,0
Он странно выглядит.,He looks weird.,He looks weird.,either,MT,0
Я бы на твоём месте поступил так же.,I would've done the same if I were you.,I'd do the same if I were you.,either,MT,0
Где здесь поблизости супермаркет?,Where's there a supermarket around here?,Where is the supermarket nearby?,either,MT,0
Когда вы поедете обратно в Бостон?,When will you go back to Boston?,When are you going back to Boston?,either,MT,0
На Юпитере жить нельзя.,You can't live on Jupiter.,You cannot live on Jupiter.,either,MT,0
Ты много о нас знаешь?,Do you know much about us?,You know a lot about us?,either,MT,0
"Если вы откроете эту дверь, возможно, вам не удасться снова закрыть ее.","If you open that door, you might not be able to get it closed again.","If you open this door, you may not be able to close it again.",either,MT,0
Тебе нужно думать о своём будущем.,You need to think about your future.,You need to think about your future.,either,MT,0
Мне нужно видеть этот отчёт сегодня.,I need to see that report today.,I need to see this report today.,either,MT,1
"Мне без разницы, сколько она стоит.",I don't care how much it costs.,I don't care how much she's worth.,either,MT,1
Ты всё ещё работаешь в пекарне на полставки?,You're still working part time at a bakery?,Are you still working at the bakery for halftime?,either,MT,1
Положите это в верхний ящик.,Put this in the top drawer.,Put it in the upper box.,either,MT,1
Том очень любит кататься на велосипеде.,Tom really likes cycling.,She likes to ride a bike.,either,MT,1
Ты бы на моём месте то же самое сделал.,You would've done the same if you were me.,You would have done the same thing in my place.,either,MT,1
"Том сделал своей девушке предложение, и она сказала да.",Tom proposed to his girlfriend and she said yes.,"Tom made an offer to his girlfriend, and she said yes.",either,MT,1
Я был с ним честен.,I have been honest with him.,I was honest with him.,either,MT,1
"Это не единственное, чего Том хотел.",That's not the only thing that Tom wanted.,That's not the only thing Tom wanted.,either,MT,0
"Скажи мне три вещи, которые ты можешь сделать хорошо.",Tell me three things that you can do well.,Tell me three things you can do well.,either,MT,0
У вас есть сковородка побольше?,Do you have a bigger pan?,Do you have a bigger pan?,either,MT,0
"Я единственная, кто может вам помочь.",I'm the only one who can help you.,I'm the only one who can help you.,either,MT,0
"Никто не видел, как они вышли из комнаты.",Nobody saw them leave the room.,No one saw them leave the room.,either,MT,0
В присутствии начальника нужно выглядеть заняты́м.,You need to look busy when the boss is around.,"In the presence of the boss, you need to look busy.",either,MT,0
Мы уже далеко продвинулись.,We've already made a lot of progress.,We've come a long way.,either,MT,0
Я Тома одновременно люблю и ненавижу.,I hate and love Tom at the same time.,I love and hate Tom at the same time.,either,MT,0
"Я хочу, чтобы вы встретили меня в аэропорту.",I'd like you to meet me at the airport.,I want you to meet me at the airport.,either,MT,0
Том точит свой карандаш.,Tom is sharpening his pencil.,Tom's sharpening his pencil.,either,MT,0
"Маша тушит мясо, а Фома делает салат.",Mary is cooking stew and Tom is making a salad.,"The mask melts meat, and Thomas makes a salad.",either,MT,1
Том мне ничего не сказал.,Tom didn't say anything to me.,Tom told me nothing.,either,MT,0
Том открыл своё окно.,Tom opened his window.,Tom opened his window.,either,MT,0
Это длинное путешествие.,It's a long journey.,It's a long journey.,either,MT,0
Оставайся дома.,Stay at home.,Stay home.,either,MT,0
Дело не совсем в этом.,That's not really the point.,It's not exactly that.,either,MT,0
Тома никогда не волновали чувства других людей.,Tom has never cared about other people's feelings.,Tom never cared about other people’s feelings.,either,MT,0
Звучит просто.,It sounds simple.,Sounds simple.,either,MT,0
Ты всегда так говоришь.,You always say that.,You always say that.,either,MT,0
Вот мой бумажник.,Here's my wallet.,Here's my wallet.,either,MT,0
Немедленно остановись!,Stop immediately!,Stop immediately!,either,MT,0
"Я спросил у Тома, не хочет ли он сходить искупаться.",I asked Tom if he wanted to go swimming.,I asked Tom if he wanted to go swimming.,either,MT,0
"Я думаю, Тому меньше тридцати.",I think Tom is under thirty.,I think Tom's under thirty.,either,MT,0
Почему бы нам не убрать этот беспорядок?,Why don't we clean up this mess?,Why don't we get rid of this mess?,either,MT,1
"Ну, я думаю, пора рассказать настоящую историю.","Well, I think it's time the real story was told.","Well, I think it's time to tell a real story.",either,MT,1
"Я говорил вам, что Том не захочет ехать.",I told you Tom wouldn't want to go.,I told you Tom wouldn't want to go.,either,MT,0
"Сделай с этим что-нибудь, пожалуйста.",Please do something about it.,"Do something about it, please.",either,MT,0
Том живёт в одном здании со мной.,Tom lives in my building.,Tom lives in the same building as me.,either,MT,1
Запри все двери.,Lock all the doors.,Lock all doors.,either,MT,0
"Я собираюсь использовать маркер, чтобы выделить главную информацию.",I am going to use the highlighter to highlight the main points.,I'm going to use a marker to highlight the main information.,either,MT,1
С тобой всё только делается лучше!,You being there makes it all better!,You're just doing better!,either,MT,1
Ты можешь поговорить об этом с Томом?,Can you talk to Tom about this?,Can you talk to Tom about this?,either,MT,0
Это пора остановить.,It's time to stop this.,It's time to stop.,either,MT,1
Мы очень гордимся нашей командой.,We're very proud of our team.,We are very proud of our team.,either,MT,0
Я мало что помню о Томе.,I don't remember much about Tom.,I don’t remember much about Tom.,either,MT,0
Ты мог бы хотя бы принять душ.,You could at least take a shower.,You could at least take a shower.,either,MT,0
Коала спит.,The koala is sleeping.,Cala sleeps.,either,MT,1
Они определили его местонахождение.,They've located him.,They found his location.,either,MT,0
Вот несколько фотографий.,Here are some pictures.,Here are a few photos.,either,MT,0
Вряд ли мы найдём Тома в такой толпе.,We're not likely to find Tom in this crowd.,I don't think we'll find Tom in such a crowd.,either,MT,1
"Как мне объяснить своему мужу, что он меня оскорбляет?",How can I explain to my husband that he's hurting me?,How can I explain to my husband that he insults me?,either,MT,1
На столе лежит раскрытая книга.,There's a book lying open on the desk.,There is an open book on the table.,either,MT,1
Я посвящаю эту песню тебе.,I dedicate this song to you.,I dedicate this song to you.,either,MT,0
Том забронировал два места в первом ряду в театре.,Tom booked two seats in the first row at the theater.,Tom booked two places in the first row of the theater.,either,MT,0
"Я не знал, что Мери была девушкой Тома.",I didn't know that Mary was Tom's girlfriend.,I didn't know Mary was Tom's girlfriend.,either,MT,0
Вы планируете оставаться здесь надолго?,Do you plan to be here long?,Are you planning on staying here for a long time?,either,MT,0
Ну и мерзавец!,What a heel!,It's a scumbag!,either,MT,1
"Если бы я заметил, я бы вам сказал.","If I'd noticed, I would've told you.","If I noticed, I'd tell you.",either,MT,0
"Мэри тебя поцеловала, да?","Mary kissed you, didn't she?","Mary kissed you, didn't she?",either,MT,0
"Я не курю, а Том курит.","I don't smoke, but Tom does.","I don't smoke, Tom smokes.",either,MT,0
Ты должна нам верить.,You've got to believe us.,You have to believe us.,either,MT,0
"Это ты виноват, а не я.","It's your fault, not mine.","It's your fault, not me.",either,MT,0
Вы там родились?,Were you born there?,Were you born there?,either,MT,0
Том сейчас на конференции.,Tom is at a conference now.,Tom's at the conference.,either,MT,0
"Боюсь, твой план не будет работать.",I'm afraid your plan will not work.,I'm afraid your plan won't work.,either,MT,0
Вы оба сегодня произвели большое впечатление. Я горжусь вами.,You've both been very impressive today. I'm proud of you.,You both made a big impression today. I'm proud of you.,either,MT,0
Не говорите плохого о других.,Don't speak ill of others.,Don’t talk bad about others.,either,MT,0
Она так вкусно пахнет.,It smells so good.,It smells so good.,either,MT,0
Почему проводятся раздельные чемпионаты по шахматам для мужчин и для женщин?,What is the reason for separating male and female chess championships?,What is the right for the right?,either,MT,1
Как это включить?,How do you turn this thing on?,How to include this?,either,MT,1
Какой самый большой город в Австралии?,What's the biggest city in Australia?,What is the largest city in Australia?,either,MT,0
Тайфун разрушил много домов.,The typhoon destroyed many houses.,Typhoon destroyed many houses.,either,MT,1
Я буду учить французский дома.,I'll study French at home.,I'll be learning French at home.,either,MT,0
Публикация статьи была приурочена ко дню рождения профессора.,Publication of the article was timed to coincide with the professor's birthday.,The publication of the article was timed to the birthday of the professor.,either,MT,0
Где Ваш мобильный телефон?,Where's your cell phone?,Where is your mobile phone?,either,MT,0
На стадионе оборудована сцена.,A stage has been set up in the stadium.,There is a stage at the stadium.,either,MT,0
Раньше это принадлежало им.,That used to belong to them.,It used to belong to them.,either,MT,0
Немедленно звоните Тому.,Call Tom immediately.,Call Tom immediately.,either,MT,0
Ты должна стыдиться собственного невежества.,You should be ashamed of your ignorance.,You must be ashamed of your own ignorance.,either,MT,0
Том любит смотреть мыльные оперы.,Tom likes to watch soap operas.,He likes to watch soap operas.,either,MT,1
"Мне надо, чтобы ты мне с этим помог.",I need you to help me with this.,I need you to help me with this.,either,MT,0
Просто проникни внутрь.,Just get inside.,Just get inside.,either,MT,0
Я принёс гитару.,I brought my guitar.,I brought the guitar.,either,MT,1
"Молодые люди часто недооценивают те колоссальные усилия, которые подразумевает изучение иностранного языка, и берутся за несколько языков сразу, распыляя таким образом свои силы, что быстро приводит к потере мотивации, когда они понимают, что результаты слабые.","Young people often underestimate the massive effort it takes to learn a foreign language and tackle several at a time, spreading themselves thin, which quickly leads to demotivation once they see their poor results.","Young people often underestimate the tremendous effort that learning a foreign language implies, and take several languages at once, thus spraying their strength, which quickly results in a loss of motivation when they realize that the results are weak.",either,MT,1
Вы действительно испугались?,Were you really scared?,Are you really scared?,either,MT,1
Мне надо перед ней извиниться.,I have to apologize to her.,I need to apologize to her.,either,MT,0
"Он очень хорошо плавал, когда был молодым.",He could swim very well when he was young.,He floated very well when he was young.,either,MT,1
"Откуда ты знал, кому это дать?",How did you know who to give that to?,How did you know who to give it to?,either,MT,0
"Том хотел, чтобы последнее слово осталось за ним.",Tom wanted to have the last word.,Tom wanted the last word to be with him.,either,MT,1
Китай и СССР поддержали Алжир.,China and the USSR supported Algeria.,China and the USSR supported Algeria.,either,MT,0
Родители Тома велели ему этого не делать.,Tom's parents told Tom not to do that.,Tom’s parents told him not to.,either,MT,1
Не напугайте детей.,Don't scare the kids.,Don't scare the kids.,either,MT,0
Вы вчера взвешивались?,Did you weigh yourself yesterday?,Did you weigh last night?,either,MT,1
Можешь дать мне свой перочинный нож?,Can you give me your pocket knife?,Can you give me your pen knife?,either,MT,1
Это мероприятие является открытым для общественности.,This event is open to the public.,This event is open to the public.,either,MT,0
Она надела очки.,She put her glasses on.,She wore glasses.,either,MT,1
"Никогда не думал, что сделаю это.",I never thought I would do that.,I never thought I'd do it.,either,MT,0
"Ты не мог бы показать мне, как этим пользоваться?",Could you show me how to use this?,Can you show me how to use it?,either,MT,0
У малышей нежная кожа.,Babies have delicate skin.,Kids have delicate skin.,either,MT,1
Все нам верили.,Everyone believed us.,Everyone believed us.,either,MT,0
Я забыл выключить свет.,I forgot to turn off the light.,I forgot to turn the lights off.,either,MT,0
"Эй, вы что делаете?","Hey, what are you doing?","Hey, what are you doing?",either,MT,0
Меня укусил паук.,I was bitten by a spider.,I was bitten by a spider.,either,MT,0
Эта сумочка очень дорогая.,That handbag is very expensive.,This bag is very expensive.,either,MT,1
Можно поговорить с Биллом?,Can I speak with Bill?,Can I talk to Bill?,either,MT,0
"Я не так хорошо говорю по-английски, как хотелось бы.",I don't speak English so well as I would like to.,I don’t speak English as well as I would like.,either,MT,0
Оставьте её открытой.,Leave it open.,Leave it open.,either,MT,0
"Скажите ей, что я сейчас вернусь.",Tell her I'll be right back.,Tell her I'll be right back.,either,MT,0
"В этом удивительном «цугцванге» у игрока были на доске все свои фигуры и пешки, и он не находился под какой-либо прямой угрозой, но мог делать только самоубийственные ходы, что привело его к поражению.","In that amazing ""zugzwang"", the player had all his pieces and pawns on the board and was not under any direct threat, but had only suicidal moves available, which led him to lose the game.","In this amazing ""tsugzwange"" the player had all his figures and pawns on the board, and he was not under any direct threat, but could do only suicide moves, which led to his defeat.",either,MT,1
Какая твоя любимая ролевая игра?,What's your favorite role-playing game?,What's your favorite role-playing game?,either,MT,0
"Я всегда чищу зубы перед тем, как идти спать.",I always brush my teeth before I go to bed.,I always brush my teeth before going to bed.,either,MT,0
Я живу в Латвии.,I live in Latvia.,I live in Latvia.,either,MT,0
Вы не должны передо мной извиняться.,You don't have to apologize to me.,You don't have to apologize to me.,either,MT,0
"Обидеть Мэри может каждый, не каждый сможет убежать.","Anyone can offend Mary, but not everyone will be able to escape.","Everyone can beat Mary, not everyone can escape.",either,MT,1
У вас трое детей.,You've got three children.,You have three children.,either,MT,0
Я доверял Вам.,I trusted you.,I trusted you.,either,MT,0
Том отправился на свадьбу Джона и Мэри с Элис.,Tom went to John and Mary's wedding with Alice.,Tom went to the wedding of John and Mary with Alice.,either,MT,0
"Не люблю людей, которые настаивают на разговорах о политике.",I don't like people who always insist on talking about politics.,I don’t like people who insist on talking about politics.,either,MT,0
"И я не знаю, сколько он так бродил по пустыне без единой капли воды во рту, но в конце концов ему удалось наткнуться на какую-то деревушку.","And I don't know how long he wandered in the desert without as much as a drop of water in his mouth, but in the end he managed to come across a small village.","And I don't know how much he wandered through the desert without a single drop of water in his mouth, but eventually he managed to stumble upon some village.",either,MT,1
Операция прошла успешно.,The surgery was a success.,The operation was successful.,either,MT,1
Том сделал упражнения на растяжку.,Tom did some stretching exercises.,Tom did stretching exercises.,either,MT,0
"Я знаю, это трудно принять.",I know this is difficult to accept.,I know it's hard to accept.,either,MT,0
На столе лежит раскрытая книга.,There's a book lying open on the desk.,There is a book on the table.,either,MT,1
"Я знаю, как выжить.",I know how to survive.,I know how to survive.,either,MT,0
Я люблю рассказы.,I like stories.,I love stories.,either,MT,0
Оно не на своём месте.,It's not in its place.,It's out of place.,either,MT,0
"Вы не в том состоянии, чтобы вести машину.",You're in no condition to drive.,You are not in a position to drive a car.,either,MT,0
Это решение трудно было принять.,It was hard to make this decision.,This decision was difficult to make.,either,MT,0
Он богатый человек.,He's a wealthy man.,He's a rich man.,either,MT,1
Том хорошо уживается с Мэри.,Tom gets along fine with Mary.,Tom's getting along well with Mary.,either,MT,1
"Вы что, не понимаете, что происходит?",Don't you understand what's happening?,You don't know what's going on?,either,MT,0
Ты помнишь название или имя автора?,Do you remember the title or the author's name?,Do you remember the name of the author?,either,MT,1
"Ты должен делать, что Том говорит.",You have to do what Tom says.,You have to do what Tom says.,either,MT,0
Люди похожи на муравьёв.,The people look like ants.,Humans are like ants.,either,MT,1
Вы принесли книгу?,Did you bring the book?,Did you bring the book?,either,MT,0
Что это я сейчас сделал?,What did I just do?,What did I do now?,either,MT,0
